WBAN,ICAO
94817,KPTK
14845,KMBS
94814,KHTL
14817,KCAD
94894,KMBL
14850,KTVC
94849,KAPN
424,K5SM
4874,KERY
14808,KOSC
422,K4BM
14839,KMKE
4865,KARV
94869,KMWC
4897,KUES
14837,KMSN
4875,KETB
4873,KEFT
94854,KJVL
14921,KLNR
54911,KMDZ
54912,KOEO
94929,KASX
94818,KRAC
4841,KSBM
4895,KSTE
54908,KSUW
14920,KLSE
14991,KEAU
94930,KVOK
94940,KCMY
94994,KOVS
14925,KRST
4963,KPDC
4891,KRRL
14898,KGRB
4826,KISW
94897,KMTW
94855,KOSH
4825,KATW
4824,KSUE
14897,KAUW
54834,KRYV
94890,KCWA
54917,KAQP
54909,KRPD
54913,KPBH
94853,KESC
94896,KMNM
4925,KFFL
94971,KEST
14972,KSPW
54832,KCLI
54833,KDLL
54838,KEGV
4845,KENW
4840,KFLD
54907,KMRJ
94973,KHYR
4898,KUNU
14944,KFSD
94032,KCUT
94902,KBKX
24024,KPHP
94039,KIEN
94990,KICR
94993,K8D3
94911,KYKN
94943,K9V9
94056,KD07
14936,KHON
4958,KORB
94950,KMHE
14946,KATY
4931,KGHW
4971,KRRT
54905,KCQM
14926,KSTC
4951,KMVE
54906,KJYG
94938,KBRD
14992,KRWF
14910,KAXN
4914,KCOQ
94976,KMML
24025,KPIR
94997,KADC
4943,KLVN
94969,KFBL
4967,KRGK
4948,KMOX
4965,KPQN
4980,KULM
4961,KOWA
4933,KHCD
94966,KFFM
94985,KMFI
94960,KMIC
94974,KANE
4944,KLXL
94963,KFCM
14922,KMSP
4941,KLJF
14927,KSTP
14954,KMKT
94948,KFRM
94927,KOTG
4956,KONA
94968,KAEL
14929,KABR
4946,KMJQ
4978,KTOB
4974,KSGS
24090,KRAP
24006,KRCA
4864,KAIG
94037,K2WX
94023,KGCC
94054,KBYG
24029,KSHR
94173,KP60
24062,KWRL
24048,KGEY
24087,KGDV
4969,KROS
54914,KPNM
94052,KMBG
24057,KRWL
24045,KCOD
24164,KBPI
24061,KRIW
24033,KBIL
24036,KLWT
94055,KBHK
24132,KBZN
24150,KLVM
24131,KBOI
94195,KEUL
24106,KMUO
4110,KJER
24154,KMLP
94194,KRXE
4112,KSNT
94185,KBNO
4201,KSPB
24162,KONO
24196,KSMN
